survived	fare	residence	class_level	age
0	7.55	0	3	42
0	20.25	0	3	13
0	20.25	0	3	16
1	20.25	0	3	35
1	7.65	2	3	16
1	7.65	0	3	25
0	24	2	2	30
1	24	2	2	28
1	7.925	2	3	20
1	7.2292	2	3	18
0	7.25	2	3	30
0	8.05	1	3	26
0	9.475	2	3	40
1	9.35	1	3	0.8333
1	9.35	2	3	18
1	18.7875	2	3	26
0	13	0	2	30
0	7.8875	1	3	26
0	7.925	2	3	20
0	7.05	2	3	24
0	7.05	2	3	25
1	211.3375	0	1	29
0	8.05	1	3	35
1	151.55	2	1	0.9167
0	151.55	2	1	2
0	151.55	2	1	30
0	151.55	2	1	25
0	8.3	1	3	18
1	7.8542	2	3	19
0	22.525	2	3	32
1	26.55	0	1	48
0	31.275	2	3	4
0	31.275	2	3	6
0	31.275	2	3	2
1	7.925	2	3	17
0	7.775	2	3	38
0	31.275	2	3	9
0	31.275	2	3	11
0	31.275	2	3	39
1	7.7958	2	3	27
0	7.775	2	3	26
0	31.275	2	3	39
0	7.8542	2	3	20
0	11.5	2	2	18
0	10.5	1	2	25
1	77.9583	0	1	63
0	0	2	1	39
0	7.8958	2	3	26
0	26	1	2	34
1	26	1	2	36
1	51.4792	2	1	53
0	17.8	2	3	25
0	17.8	2	3	18
0	7.775	2	3	24
0	49.5042	2	1	71
0	13	0	2	57
0	7.05	2	3	35
0	31.3875	2	3	5
0	31.3875	2	3	9
1	31.3875	2	3	3
0	31.3875	2	3	13
1	31.3875	2	3	5
0	31.3875	2	3	40
1	7.7958	2	3	23
1	31.3875	2	3	38
1	7.225	2	3	45
0	7.225	2	3	21
0	7.05	2	3	23
0	227.525	0	1	47
1	227.525	0	1	18
0	14.4583	2	3	17
0	7.225	2	3	30
1	69.3	2	1	24
0	7.8542	2	3	23
1	7.2292	2	3	13
0	7.225	2	3	20
0	15.85	2	3	32
1	15.85	2	3	33
1	19.2583	2	3	0.75
1	19.2583	2	3	0.75
1	19.2583	2	3	5
1	19.2583	2	3	24
1	8.05	1	3	18
0	7.225	2	3	40
0	11.5	1	2	18
0	10.5	2	2	23
0	7.8958	2	3	26
1	13	1	2	36
0	10.5	1	2	28
1	7.2292	2	3	20
0	14.4542	2	3	18
0	14.4542	2	3	45
1	78.85	2	1	26
1	30	1	1	80
0	7.8792	0	3	27
0	8.05	1	3	22
0	12.525	0	2	51
0	25.925	0	1	NA
0	247.5208	2	1	24
1	247.5208	2	1	50
1	76.2917	2	1	32
1	26	0	2	32
1	26	1	2	19
0	75.2417	2	1	36
0	26	1	2	28
0	8.05	1	3	19
1	39	2	2	1
1	39	2	2	4
1	39	2	2	12
1	39	2	2	36
1	52.5542	0	1	37
1	52.5542	0	1	47
1	13	1	2	34
1	30	0	1	26
0	7.775	2	3	26
1	13	0	2	19
0	9.35	2	3	22
0	13	1	2	23
0	7.2292	2	3	NA
0	4.0125	2	3	20
1	227.525	2	1	42
1	56.4958	2	3	32
1	221.7792	2	1	29
0	7.775	2	3	21
0	26	2	1	25
1	91.0792	0	1	25
1	91.0792	0	1	19
1	135.6333	2	1	35
0	7.75	2	3	18
1	26.55	2	1	28
0	35.5	0	1	45
1	31	0	1	40
1	164.8667	0	1	30
1	26.55	1	1	58
0	26.55	1	1	42
0	7.8958	2	3	26
0	13	0	2	26
0	15.2458	2	3	6
0	15.2458	2	3	9
0	7.225	2	3	NA
0	15.2458	2	3	NA
0	7.75	2	3	NA
0	15.5	2	3	40
0	15.5	2	3	32
1	262.375	0	1	45
0	16.1	2	3	21
0	13	2	2	42
1	55	1	1	22
0	13	0	2	27
1	7.725	2	3	22
1	26.55	2	1	NA
0	30.5	0	1	41
0	7.8542	2	3	20
0	50.4958	0	1	48
0	7.0458	1	3	29
0	7.25	1	3	22
0	39.6	0	1	NA
0	7.7958	2	3	22
0	8.05	1	3	35
1	13	1	2	24
1	39	2	2	15
0	39	2	2	60
1	27.7208	2	1	44
1	51.4792	2	1	59
1	39	2	2	40
1	26	2	2	20
0	26	2	2	25
0	7.2833	2	3	18.5
1	7.8208	2	3	21
1	76.2917	0	1	60
0	6.75	2	3	19
1	134.5	2	1	41
0	7.8792	2	3	18
1	13	1	2	36
0	13	1	2	25
0	26.55	0	1	45
0	13	1	2	42
1	13	0	2	42
0	8.6625	2	3	21
0	8.6625	2	3	30
0	8.6625	2	3	18
0	8.6625	2	3	38
0	31	2	1	NA
1	26.2875	0	1	42
1	29	2	2	0.8333
1	29	2	2	26
1	29	0	2	22
0	8.6625	2	3	17
0	8.6625	2	3	17
1	21	1	2	35
0	0	2	2	NA
0	7.75	2	3	21
0	7.75	2	3	21
1	27.4458	0	1	53
0	8.05	1	3	21
0	14.4583	2	3	NA
0	14.4583	2	3	NA
0	13	1	2	19
1	512.3292	0	1	36
1	512.3292	0	1	58
0	7.7958	2	3	28
0	7.8542	2	3	24
0	5	2	1	33
1	7.75	2	3	16
0	7.75	2	3	37
0	47.1	2	1	28
0	47.1	2	1	17
1	120	0	1	11
1	120	0	1	14
1	120	0	1	36
0	26	1	2	44
1	120	0	1	36
0	26	2	2	54
0	7.25	1	3	28
0	26	1	1	49
1	27.7208	0	1	NA
0	78.85	1	1	36
1	78.85	1	1	76
0	8.05	2	3	24
0	61.175	0	1	46
1	61.175	0	1	47
1	53.1	0	1	27
1	53.1	0	1	33
0	13.5	0	2	52
0	26	1	2	37
0	26	1	2	29
0	7.7333	2	3	21
1	262.375	2	1	36
1	86.5	1	1	30
1	29.7	2	1	45
1	55	1	1	NA
1	56.4958	2	3	32
0	0	2	1	NA
0	8.05	1	3	29
1	30	1	2	25
1	30	1	2	45
0	14.4542	2	3	26
0	14.4542	2	3	18
0	136.7792	0	1	27
1	136.7792	0	1	26
0	26	1	2	29
1	26	1	2	28
1	151.55	1	1	22
0	52	0	1	NA
0	7.05	2	3	20
1	8.05	1	3	18
0	7.25	2	3	24
0	7.4958	2	3	36
0	7.4958	2	3	24
0	10.5	1	2	29
0	13	2	2	28
1	10.5	1	2	24
0	25.5875	2	1	47
1	26.25	1	2	8
0	26.25	1	2	31
1	26.25	1	2	31
1	83.1583	0	1	39
0	83.1583	0	1	37
1	83.1583	0	1	64
0	7.7333	0	3	31
0	7.75	2	3	31
1	7.75	2	3	22
0	7.6292	2	3	30
0	7.75	2	3	70.5
0	8.05	2	3	43
1	10.5	2	2	22
0	7.8958	2	3	35
0	7.8958	2	3	27
0	7.8958	2	3	19
0	13	0	2	30
0	21	2	2	NA
0	8.05	1	3	30
1	25.7	0	1	55
0	11.5	1	2	21
1	15.9	1	3	9
1	15.9	1	3	3
1	15.9	1	3	36
0	7.25	1	3	59
0	26.55	0	1	NA
0	8.1583	1	3	19
1	16.1	1	3	17
0	16.1	1	3	44
0	71	0	1	70
1	71	2	1	36
1	26.55	0	1	64
0	8.6625	2	3	17
0	71.2833	0	1	39
1	71.2833	0	1	38
0	0	2	2	NA
0	7.225	2	3	22.5
1	8.05	2	3	45
0	10.5167	2	3	22
0	10.1708	2	3	19
1	6.95	2	3	30
1	7.75	2	3	29
1	26.55	2	1	51
0	14.4	2	3	0.3333
0	14.4	2	3	34
0	14.4	2	3	28
1	30.5	2	1	27
1	151.55	2	1	33
0	7.8958	2	3	27
0	7.8958	2	3	25
0	52	2	1	31
1	52	2	1	27
1	36.75	1	2	8
0	24.15	1	3	24
0	73.5	1	2	18
0	8.05	2	3	22
0	24.15	1	3	21
0	8.05	1	3	17
1	36.75	1	2	48
1	13	1	2	28
0	16.1	1	3	NA
1	16.1	1	3	NA
0	13	2	2	32
1	17.4	0	3	36.5
1	17.4	0	3	36
1	9.5	2	3	30
0	9.5	2	3	16
0	73.5	1	2	17
1	20.575	1	3	1
1	20.575	1	3	0.1667
0	20.575	1	3	26
1	20.575	1	3	33
0	27.7208	2	2	29
1	27.7208	2	2	24
0	7.8958	2	3	25
0	7.8958	2	3	NA
0	31.5	2	2	25
0	7.8958	2	3	NA
0	7.25	1	3	22
0	7.25	1	3	36
1	7.8792	2	3	19
0	73.5	1	2	18
1	57	2	1	31
1	57	0	1	17
0	7.8958	2	3	17
0	8.6625	2	3	42
0	7.8958	2	3	43
1	81.8583	0	1	53
1	81.8583	0	1	4
1	81.8583	0	1	54
0	7.2292	2	3	NA
1	23	1	2	18
1	23	1	2	34
0	7.75	2	3	32
1	8.05	1	3	19
0	106.425	0	1	50
1	247.5208	2	1	27
1	106.425	0	1	48
1	12.475	0	3	30
0	26	2	2	54
0	7.75	2	3	24
1	8.05	2	3	23
0	7.8958	2	3	33
1	32.5	0	2	8
0	32.5	0	2	42
1	32.5	0	2	34
0	7.75	2	3	65
1	39.6	1	1	48
1	56.9292	1	1	49
0	29.7	0	1	39
1	7.55	2	3	24
1	13.8583	2	2	27
1	13.8583	2	2	30
0	13.9	0	3	23
1	13.9	0	3	22
1	83.1583	0	1	23
0	7.775	2	3	18
0	13	1	2	23
0	7.775	2	3	16
0	6.975	2	3	45
0	7.225	2	3	NA
0	7.2292	2	3	39
