num,tutorial_batch,happy1,ID,time,major,Distance,direction,born,sports,aware,morning_drink,morning_drink2,breakfast,sleep,siblings,siblings_number,pets,beer,coffee,Pineapple_Pizza,Pinky,OS,hand,energy,shoes,phone,Apartment_Size,rooms,apps,countries,CB,Food_Money,Season,Drink_Coffee,height,bother,happy2
1,2023,8,edelz21,8.15,GESS,4.0,NW,300.0,10.0,energized,tea,other,yes,7,yes,3,15.0,4.0,3,Yes,4.0,Apple,16,9.0,4.0,11.0,40,3.0,6.0,15.0,yes,170.0,Fall,Other,173.0,6,8
2,2023,7,ludwi1,8.15,GESS,6.0,E,700.0,4.0,awake,coffee,coffee,yes,8,yes,2,0.0,1.0,2,Yes,6.0,Neither,20,7.0,5.0,15.6,85,3.0,,12.0,No,200.0,Summer,milk,182.0,8,7
3,2023,5,trift33,8.15,GESS,2.0,NW,30.0,2.0,tired,water,water,yes,8,yes,1,,1.0,2,No,3.0,Microsoft,15,8.0,4.0,13.0,70,2.0,15.0,22.0,No,200.0,Spring,milk,179.0,6,6
4,2023,6,grne40,8.15,GESS,2.5,SW,65.0,2.0,awake,water,water,yes,7,yes,1,0.0,2.0,2,do_not_mind,6.3,Both,16.5,6.0,10.0,15.0,100,2.0,30.0,15.0,yes,150.0,Summer,milk,174.0,3,6
5,2023,8,bergs89,8.15,GESS,2.5,N,150.0,3.5,awake,tea,other,yes,8,yes,2,2.0,5.0,5,do_not_mind,6.0,Microsoft,19.5,8.0,7.0,17.5,90,4.0,196.0,13.0,yes,180.0,Fall,milk,175.0,9,8
6,2023,5,alton3809,8.15,GESS,2.0,SE,891.0,5.0,awake,none,other,yes,7,yes,3,1.0,7.0,7,No,5.0,Both,15,6.0,15.0,9.0,75,1.0,17.0,20.0,yes,120.0,Summer,milk,173.0,9,5
7,2023,6,erlen7,8.15,GESS,1.0,SW,338.0,6.0,energized,tea,other,yes,7,yes,2,,2.0,3,No,5.0,Both,20,8.0,10.0,14.86,73,2.0,47.0,10.0,yes,150.0,Winter,milk,178.0,9,8
8,2023,7,amkre9,8.15,GESS,3.0,NW,742.0,1.0,awake,tea,other,yes,6,yes,1,3.0,2.0,2,do_not_mind,6.0,Microsoft,17,7.0,7.0,16.0,90,2.0,144.0,11.0,yes,60.0,Summer,sugar_milk,165.0,7,7
9,2023,5,billg15,8.15,GESS,72.0,NW,50.0,12.0,drowsy,tea,other,yes,8,no,0,2.0,3.0,4,do_not_mind,5.0,Apple,17,5.0,8.0,13.7,35,2.0,97.0,8.0,yes,110.0,Fall,milk,166.0,2,5
10,2023,4,schul26,8.15,GESS,2.0,NW,400.0,0.0,awake,coffee,coffee,no,6,yes,1,0.0,2.0,2,do_not_mind,6.5,Microsoft,18,7.0,6.0,18.0,80,1.0,10.0,12.0,No,250.0,Summer,black,183.0,1,4
11,2023,8,garte2,8.15,GESS,3.0,NW,282.0,11.0,awake,Latte_Machhiato,coffee,yes,8,yes,3,2.0,3.0,2,do_not_mind,4.0,Microsoft,20,9.0,7.0,15.6,110,6.0,100.0,9.0,yes,200.0,Summer,sugar_milk,185.0,6,8
12,2023,6,rhein34,8.15,GESS,2.0,S,639.0,2.0,awake,water,water,yes,7,no,0,3.0,4.0,4,No,6.8,Both,17.5,9.0,3.0,15.4,30,0.0,55.0,5.0,yes,160.0,Spring,Other,175.0,6,6
13,2023,9,feuer40,8.15,GESS,1.5,N,370.0,3.0,energized,Ginger_shot,other,yes,10,yes,3,1.0,4.0,4,do_not_mind,7.0,Both,24,10.0,8.0,18.0,60,1.0,70.0,17.0,yes,300.0,Fall,Other,170.0,7,9
14,2023,9,holst58,8.15,GESS,0.5,W,600.0,4.0,awake,Water,water,yes,8,yes,1,1.0,1.0,2,do_not_mind,8.0,Apple,21,9.0,6.0,19.0,110,5.0,103.0,14.0,yes,115.0,Summer,milk,175.0,2,9
15,2023,7,rueem9,8.15,GESS,2.3,S,818.0,1.0,tired,tea,other,yes,7,yes,1,4.0,6.0,2,do_not_mind,5.5,Microsoft,15.5,7.0,5.0,14.5,120,3.0,130.0,19.0,yes,80.0,Spring,Other,169.0,8,7
16,2023,5,fuent2,8.15,GESS,3.0,NW,8600.7,10.0,tired,Coffee,coffee,no,6,yes,4,5.0,4.0,4,No,5.5,Microsoft,20,4.0,10.0,11.0,77,3.0,93.0,3.0,yes,300.0,Spring,sugar_milk,167.0,4,6
17,2023,7,ortho8,8.15,GESS,3.0,N,123.0,3.0,awake,coffee,coffee,yes,8,no,0,3.0,2.0,2,do_not_mind,5.0,Microsoft,15,7.0,7.0,12.0,100,5.0,60.0,16.0,yes,150.0,Spring,milk,168.0,6,7
18,2023,6,garte27,8.15,GESS,3.1,NW,461.0,3.5,drowsy,coffee,coffee,yes,8,yes,1,5.0,3.0,3,No,5.0,Microsoft,14,8.0,6.0,12.0,15,1.0,15.0,6.0,No,100.0,Spring,milk,164.0,7,7
19,2023,8,haupt29,8.15,GESS,1.7,N,350.0,1.0,awake,coffee,coffee,yes,8,yes,6,2.0,1.0,1,do_not_mind,7.0,Microsoft,22,8.0,4.0,15.0,89,3.0,60.0,10.0,yes,200.0,Summer,black,190.0,6,8
