"","num","tutorial_batch","happy1","ID","time","major","travel","direction","born","sports","aware","morning_drink","morning_drink2","breakfast","sleep","siblings","siblings_number","pets","beer","coffee","Pineapple_Pizza","Pinky","OS","hand","energy","shoes","phone","Apartment_Size","rooms","apps","countries","CB","Food_Money","season","Drink_Coffee","height","bother","happy2"
"1",1,2023,8,"edelz21",8.15,"GESS",4,"NW",300,10,"energized","tea","other","yes",7,"yes",3,15,4,3,"Yes",4,"Apple","16",9,4,11,"40",3,6,15,"yes",170,"Fall","Other",173,6,8
"4",4,2023,6,"grne40",8.15,"GESS",2.5,"SW",65,2,"awake","water","water","yes",7,"yes",1,0,2,2,"do_not_mind",6.3,"Both","16.5",6,10,15,"100",2,30,15,"yes",150,"Summer","milk",174,3,6
"5",5,2023,8,"bergs89",8.15,"GESS",2.5,"N",150,3.5,"awake","tea","other","yes",8,"yes",2,2,5,5,"do_not_mind",6,"Microsoft","19.5",8,7,17.5,"90",4,196,13,"yes",180,"Fall","milk",175,9,8
"6",6,2023,5,"alton3809",8.15,"GESS",2,"SE",891,5,"awake","none","other","yes",7,"yes",3,1,7,7,"No",5,"Both","15",6,15,9,"75",1,17,20,"yes",120,"Summer","milk",173,9,5
"8",8,2023,7,"amkre9",8.15,"GESS",3,"NW",742,1,"awake","tea","other","yes",6,"yes",1,3,2,2,"do_not_mind",6,"Microsoft","17",7,7,16,"90",2,144,11,"yes",60,"Summer","sugar_milk",165,7,7
"9",9,2023,5,"billg15",8.15,"GESS",72,"NW",50,12,"drowsy","tea","other","yes",8,"no",0,2,3,4,"do_not_mind",5,"Apple","17",5,8,13.7,"35",2,97,8,"yes",110,"Fall","milk",166,2,5
"10",10,2023,4,"schul26",8.15,"GESS",2,"NW",400,0,"awake","coffee","coffee","no",6,"yes",1,0,2,2,"do_not_mind",6.5,"Microsoft","18",7,6,18,"80",1,10,12,"No",250,"Summer","black",183,1,4
"11",11,2023,8,"garte2",8.15,"GESS",3,"NW",282,11,"awake","Latte_Machhiato","coffee","yes",8,"yes",3,2,3,2,"do_not_mind",4,"Microsoft","20",9,7,15.6,"110",6,100,9,"yes",200,"Summer","sugar_milk",185,6,8
"12",12,2023,6,"rhein34",8.15,"GESS",2,"S",639,2,"awake","water","water","yes",7,"no",0,3,4,4,"No",6.8,"Both","17.5",9,3,15.4,"30",0,55,5,"yes",160,"Spring","Other",175,6,6
"13",13,2023,9,"feuer40",8.15,"GESS",1.5,"N",370,3,"energized","Ginger_shot","other","yes",10,"yes",3,1,4,4,"do_not_mind",7,"Both","24",10,8,18,"60",1,70,17,"yes",300,"Fall","Other",170,7,9
"14",14,2023,9,"holst58",8.15,"GESS",0.5,"W",600,4,"awake","Water","water","yes",8,"yes",1,1,1,2,"do_not_mind",8,"Apple","21",9,6,19,"110",5,103,14,"yes",115,"Summer","milk",175,2,9
"15",15,2023,7,"rueem9",8.15,"GESS",2.3,"S",818,1,"tired","tea","other","yes",7,"yes",1,4,6,2,"do_not_mind",5.5,"Microsoft","15.5",7,5,14.5,"120",3,130,19,"yes",80,"Spring","Other",169,8,7
"16",16,2023,5,"fuent2",8.15,"GESS",3,"NW",8600.7,10,"tired","Coffee","coffee","no",6,"yes",4,5,4,4,"No",5.5,"Microsoft","20",4,10,11,"77.0",3,93,3,"yes",300,"Spring","sugar_milk",167,4,6
"17",17,2023,7,"ortho8",8.15,"GESS",3,"N",123,3,"awake","coffee","coffee","yes",8,"no",0,3,2,2,"do_not_mind",5,"Microsoft","15",7,7,12,"100",5,60,16,"yes",150,"Spring","milk",168,6,7
"18",18,2023,6,"garte27",8.15,"GESS",3.1,"NW",461,3.5,"drowsy","coffee","coffee","yes",8,"yes",1,5,3,3,"No",5,"Microsoft","14",8,6,12,"15",1,15,6,"No",100,"Spring","milk",164,7,7
