ID,diam,rings,year
2_26_10_a,0.3,1,2022
3_26_10_a,0.5,2,2022
4_26_10_a,0.3,2,2022
5_26_10_a,0.4,1,2022
6_26_10_a,0.8,3,2022
7_26_10_a,0.6,2,2022
8_26_10_a,0.7,1,2022
8_26_10_a,0.7,3,2022
9_26_10_a,1,2,2022
10_26_10_a,1.4,3,2022
1_26_10_b,0.3,2,2022
11_26_10_b,0.3,5,2022
12_26_10_b,0.8,3,2022
1_02_11_a,0.3,3,2022
2_02_11_a,0.6,5,2022
2_02_11_a,0.6,6,2022
3_02_11_a,0.8,4,2022
3_02_11_a,1.1,4,2022
4_02_11_a,0.7,5,2022
4_02_11_a,1,5,2022
6_02_11_a,0.2,2,2022
7_02_11_a,0.7,5,2022
8_02_11_a,0.5,2,2022
8_02_11_a,0.5,3,2022
8_02_11_a,0.6,2,2022
8_02_11_a,0.6,3,2022
9_02_11_a,0.4,4,2022
9_02_11_a,0.5,4,2022
10_02_11_a,0.5,4,2022
10_02_11_a,0.5,5,2022
10_02_11_a,0.6,4,2022
10_02_11_a,0.6,5,2022
1_02_11_b,1,2,2022
2_02_11_b,0.4,2,2022
2_02_11_b,0.4,3,2022
2_02_11_b,0.7,2,2022
2_02_11_b,0.7,3,2022
3_02_11_b,0.8,4,2022
3_02_11_b,0.8,5,2022
4_02_11_b,0.2,3,2022
5_02_11_b,0.4,3,2022
7_02_11_b,0.4,3,2022
7_02_11_b,0.4,4,2022
7_02_11_b,0.6,3,2022
7_02_11_b,0.6,4,2022
7_02_11_b,0.8,3,2022
7_02_11_b,0.8,4,2022
8_02_11_b,0.7,1,2022
9_02_11_b,0.4,2,2022
9_02_11_b,0.4,3,2022
9_02_11_b,0.4,4,2022
9_02_11_b,0.8,2,2022
9_02_11_b,0.8,3,2022
9_02_11_b,0.8,4,2022
10_02_11_b,1,4,2022
10_02_11_b,1,6,2022
10_02_11_b,1.3,4,2022
10_02_11_b,1.3,6,2022
1_09_11_a,0.4,2,2022
1_09_11_a,0.4,4,2022
1_09_11_a,0.4,5,2022
1_09_11_a,0.6,2,2022
1_09_11_a,0.6,4,2022
1_09_11_a,0.6,5,2022
2_09_11_a,0.3,3,2022
2_09_11_a,0.3,5,2022
3_09_11_a,0.5,6,2022
4_09_11_a,1.1,4,2022
5_09_11_a,0.8,2,2022
5_09_11_a,0.8,3,2022
5_09_11_a,0.8,4,2022
5_09_11_a,0.8,6,2022
5_09_11_a,1.2,2,2022
