id	adult	ice_cream	video	puzzle	puzzle_type
70	0	2	47	57	average
121	1	1	63	61	pro
86	0	3	58	31	rookie
141	0	3	53	56	average
172	0	1	53	61	pro
113	0	1	63	61	pro
50	0	1	53	61	pro
11	0	1	39	36	rookie
84	0	1	58	51	average
48	0	1	50	51	average
75	0	1	53	61	pro
60	0	1	63	61	pro
95	0	3	61	71	pro
104	0	3	55	46	average
38	0	2	31	56	average
115	0	2	50	56	average
76	0	3	50	56	average
195	0	1	58	56	average
114	0	3	55	61	pro
85	0	1	53	46	average
167	0	1	66	41	average
143	0	1	72	66	pro
41	0	1	55	56	average
20	0	3	61	61	pro
12	0	1	39	46	average
53	0	1	39	31	rookie
154	0	3	61	66	pro
178	0	1	58	46	average
196	0	3	39	46	average
29	0	2	55	41	average
126	0	1	47	51	average
103	0	3	64	61	pro
192	0	3	66	71	pro
150	0	1	72	31	rookie
199	0	3	61	61	pro
144	0	3	61	66	pro
200	0	1	66	66	pro
80	0	3	66	66	pro
16	0	2	36	36	rookie
153	0	1	39	51	average
176	0	1	42	51	average
177	0	1	58	51	average
168	0	1	55	51	average
40	0	2	50	41	average
62	0	3	63	66	pro
169	0	2	69	46	average
49	0	3	49	47	average
136	0	1	63	51	average
189	0	1	53	46	average
7	0	1	47	51	average
27	0	1	57	56	average
128	0	3	47	41	average
21	0	1	50	46	average
183	0	1	55	71	pro
132	0	1	69	66	pro
15	0	3	26	42	average
67	0	2	33	32	rookie
22	0	1	56	46	average
185	0	1	58	41	average
9	0	1	44	51	average
181	0	1	58	61	pro
170	0	3	69	66	pro
134	0	2	34	46	average
108	0	1	36	36	rookie
197	0	3	36	61	pro
140	0	1	50	26	rookie
171	0	1	55	66	pro
107	0	2	42	26	rookie
81	0	2	65	44	average
18	0	1	44	36	rookie
155	0	1	39	51	average
97	0	3	58	61	pro
68	0	1	63	66	pro
157	0	1	74	66	pro
56	0	1	58	51	average
5	0	2	45	31	rookie
159	0	3	49	61	pro
123	0	3	63	66	pro
164	0	1	39	46	average
14	0	3	42	56	average
127	0	3	55	56	average
165	0	2	61	36	rookie
174	0	1	66	56	average
3	0	2	63	56	average
58	0	1	44	41	average
146	0	3	63	66	pro
102	0	3	53	56	average
117	0	3	42	56	average
133	0	1	34	31	rookie
94	0	3	61	56	average
24	0	1	47	46	average
149	0	2	66	46	average
82	1	3	69	61	pro
8	1	2	44	48	average
129	1	2	47	51	average
173	1	2	63	51	average
57	1	1	66	56	average
100	1	3	69	71	pro
1	1	2	39	41	average
194	1	3	61	61	pro
88	1	3	69	66	pro
99	1	3	66	61	pro
47	1	2	33	41	average
120	1	3	50	51	average
166	1	1	61	51	average
65	1	1	42	56	average
101	1	3	50	56	average
89	1	2	51	33	rookie
54	1	2	50	56	average
180	1	3	58	71	pro
162	1	1	61	56	average
4	1	2	39	51	average
131	1	3	46	66	pro
125	1	2	59	56	average
34	1	3	55	66	pro
106	1	1	42	41	average
130	1	3	55	46	average
93	1	3	58	66	pro
163	1	2	58	56	average
37	1	2	39	51	average
35	1	2	50	51	average
87	1	1	50	56	average
73	1	1	39	56	average
151	1	1	48	46	average
44	1	2	34	46	average
152	1	3	58	61	pro
105	1	1	44	56	average
28	1	1	50	41	average
91	1	3	47	46	average
45	1	2	29	26	rookie
116	1	1	50	56	average
33	1	2	54	56	average
66	1	1	50	51	average
72	1	1	47	46	average
77	1	2	44	66	pro
61	1	3	67	66	pro
190	1	1	58	46	average
42	1	1	44	56	average
2	1	1	42	41	average
55	1	1	44	61	pro
19	1	2	44	51	average
90	1	3	50	52	average
142	1	1	39	51	average
17	1	1	44	41	average
122	1	1	53	66	pro
191	1	3	48	61	pro
83	1	1	55	31	rookie
182	1	1	44	51	average
6	1	2	40	41	average
46	1	2	34	41	average
43	1	2	42	46	average
96	1	3	58	56	average
138	1	1	50	51	average
10	1	1	53	61	pro
71	1	1	58	66	pro
139	1	1	55	71	pro
110	1	1	54	61	pro
148	1	1	47	61	pro
109	1	1	42	41	average
39	1	3	61	66	pro
147	1	2	53	61	pro
74	1	1	51	58	average
198	1	3	63	31	rookie
161	1	2	61	61	pro
112	1	1	55	61	pro
69	1	2	40	31	rookie
156	1	1	61	61	pro
111	1	2	47	36	rookie
186	1	1	55	41	average
98	1	2	53	37	rookie
119	1	2	50	43	average
13	1	1	47	61	pro
51	1	3	31	39	rookie
26	1	3	61	51	average
36	1	2	35	51	average
135	1	2	54	66	pro
59	1	1	55	71	pro
78	1	1	53	41	average
64	1	3	58	36	rookie
63	1	2	56	51	average
79	1	1	50	51	average
193	1	1	39	51	average
92	1	3	63	61	pro
160	1	1	50	61	pro
32	1	3	66	56	average
23	1	2	58	71	pro
158	1	1	53	51	average
25	1	1	42	36	rookie
188	1	3	55	61	pro
52	1	2	53	66	pro
124	1	2	42	41	average
175	1	3	50	41	average
184	1	1	55	56	average
30	1	3	34	51	average
179	1	1	50	56	average
31	1	1	42	56	average
145	1	1	36	46	average
187	1	1	55	52	average
118	1	1	58	61	pro
137	1	3	53	61	pro
